epoch,train_loss,test_accuracy,agreement_accuracy
1,0.9049829772540501,50.24,51.41
2,0.19812253089289047,53.41,54.78
3,0.11530949777058724,52.21,53.09
4,0.0722596621673022,57.77,59.06
5,0.038481597668058906,55.37,56.72
6,0.01685185956011992,59.57,60.91
7,0.03740079965001704,58.08,59.5
8,0.026619888905302754,58.32,59.8
9,0.0035589677932616076,59.25,60.3
10,0.0019803126062470254,59.52,60.58
11,0.0004316489565358747,60.19,61.38
12,0.00028572662244446943,60.41,61.69
13,0.0002768582412630037,60.44,61.61
14,0.00026762463726624574,60.26,61.47
15,0.00019250682071287885,60.3,61.54
16,0.00017942863732644453,60.22,61.31
17,0.00018132019167751423,60.22,61.37
18,0.00014111388573253083,60.35,61.52
19,5.147391116711982e-05,60.32,61.51
