epoch,train_loss,test_accuracy,agreement_accuracy
1,5.034717368939344,58.56,59.5
2,1.1505166457681095,59.22,60.93
3,0.7273568058013916,62.93,64.53
4,0.5703848261342329,63.15,64.76
5,0.47768901870531194,64.23,65.82
6,0.4270650115784477,65.69,67.35
7,0.3915849332073156,64.37,66.02
8,0.37406053564127756,65.44,67.38
9,0.35168594691683264,64.41,66.06
10,0.3241497381995706,65.78,67.58
11,0.3061805495269158,65.27,67.01
12,0.29347588367321914,66.4,68.07
13,0.285697740789722,66.08,67.89
14,0.26997407599407086,66.15,67.91
15,0.2645449247255045,65.66,67.41
16,0.25549551734152964,65.85,67.43
17,0.25404472694677466,66.12,68.01
18,0.24290319574229857,65.98,67.74
19,0.23573926119243396,66.86,68.54
20,0.23131922004853978,66.34,68.16
21,0.22289942282087663,66.51,68.21
22,0.22308320968466647,66.26,68.11
23,0.21866254229755963,65.87,67.65
24,0.21470640269272467,67.11,68.91
25,0.2085341099518187,65.96,67.91
26,0.20394947018693474,66.57,68.39
27,0.20278850076829685,66.73,68.46
28,0.20343125419581637,67.06,68.73
29,0.19734131022411233,66.58,68.44
30,0.19432640858432826,66.37,68.11
