epoch,train_loss,test_accuracy,agreement_accuracy
1,2.5962364869323564,62.66,64.29
2,0.6859859054208659,67.55,69.22
3,0.508258928407868,68.3,70.0
4,0.4269627392978119,69.06,71.04
5,0.37721904913298515,69.43,71.46
6,0.3439340753306588,69.05,71.33
7,0.3198049076341039,70.4,72.56
8,0.29858768751724163,69.94,72.3
9,0.2823929920599615,70.33,72.6
10,0.26727001993347416,70.72,72.76
11,0.2565115441778581,70.96,73.31
12,0.24663146870170566,71.17,73.43
13,0.23752883679575199,71.37,73.67
14,0.22982883845087435,71.04,73.43
15,0.2232937561072034,70.8,73.26
16,0.2174281785706822,71.55,74.08
17,0.21290362427131734,71.3,73.75
18,0.2046137772168187,71.13,73.44
19,0.20125356135394076,70.74,73.09
20,0.19680819564586063,71.74,74.11
21,0.19282083120491864,71.0,73.24
22,0.18898626516405628,71.61,74.22
23,0.18373291437360023,71.77,74.07
24,0.18229445213679787,71.79,74.33
25,0.18011702156967396,71.09,73.27
26,0.1771343100435442,71.9,74.14
27,0.17340860488817847,71.88,74.23
28,0.17139663706366107,72.15,74.3
29,0.1709495758602945,71.83,74.27
30,0.16721584192282862,72.03,74.37
