epoch,train_loss,test_accuracy,agreement_accuracy
1,30.948951812017533,10.32,10.51
2,29.41784513564337,10.33,10.52
3,28.007754643758137,12.27,12.11
4,23.974590029035294,33.38,33.6
5,17.174466223943803,55.16,55.7
6,12.727514993576776,67.65,68.28
7,10.209414595649356,71.66,72.28
8,9.088539464133126,74.36,74.96
9,7.130478518349784,80.29,81.01
10,5.856508504776728,81.24,81.98
11,5.181796902701969,79.15,79.93
12,4.577148403440203,87.75,88.61
13,3.6372798624492826,87.61,88.4
14,2.9956036862872897,88.34,89.25
15,2.800425654365903,90.34,91.25
16,1.9651879583086287,91.67,92.62
17,2.125301820891244,91.13,92.08
18,1.692419829822722,92.79,93.77
19,1.3573149272373743,92.76,93.75
20,1.7954085554395403,93.28,94.24
21,1.2642533381779988,94.54,95.58
22,1.1105598892484392,94.58,95.61
23,1.047829562709445,93.65,94.53
24,1.1834440032641094,94.66,95.76
25,0.8078979338918414,95.26,96.34
26,0.9229881848607745,95.37,96.47
27,0.6877136940047854,95.47,96.53
28,0.8525396074567523,95.16,96.11
29,0.6925609551724934,95.86,97.01
30,0.6175587773323059,95.72,96.75
